company name,continent,country,address,email,phone,fax
ASK Global Universal Ltd.,Europe,United-Kingdom-GB,"Lynton, 1 Southview Turnpike Hill TR17 0AY Marazion Cornwall United Kingdom (GB)       ",ask@askglobaluniversal.com,Phone: +44-1736-71-93-21,
KANTAR TNS,Europe,United-Kingdom-GB,6 More London Place SE1 2QY London United Kingdom (GB)        ,trevor.richards@tnsofres.com,Phone: +44 (0)20 7656 5000,Fax: +44-2089674330
London Economics Ltd,Europe,United-Kingdom-GB,"Somerset House, New Wing Strand WC2R 1LA London United Kingdom (GB)        ",info@londoneconomics.co.uk,Phone: +44 (0)20 3701 7700,Fax: +44 (0)20 3701 7701
JRA Research,Europe,United-Kingdom-GB,Victoria Court Kent Street NG1 3LZ Nottingham United Kingdom (GB)        ,paul@jraresearch.com,Phone: +44-115-955.1133,Fax: +44-115-953.7077
Blue Latitude Network Limited,Europe,United-Kingdom-GB,"5th Floor, Crusader House 145 - 157 Saint John Street London United Kingdom (GB)       ",Eimear.Power@bluelatitude.net,Phone: +44-2033281852,
GfK in U.K.,Europe,United-Kingdom-GB,25 Canada Square Canary Wharf E14 5LQ London United Kingdom (GB)        ,ukinfo@gfk.com,Phone: +44 20 7890 9000,Fax: +44-2078909001
Perspective,Europe,United-Kingdom-GB,Tech West House 10 Warple Way W3 0UE London United Kingdom (GB)        ,info@perspectivemr.co.uk,Phone: +44-20-8896.4400,Fax: +44-20-8896.4401
Plus Four Market Research Limited,Europe,United-Kingdom-GB,"Derwent House 35 South Park Road, Wimbledon SW19 8RR London United Kingdom (GB)        ",info@plus4.co.uk,Phone: +44-20-8254.4444,Fax: +44-20-8254.4440
Flamingo,Europe,United-Kingdom-GB,Bankside 2 100 Southwark Street SE1 0SW London United Kingdom (GB)       ,londonenquiries@flamingogroup.com,Phone: +44 (0)20 3790 0400,
product perceptions ltd.,Europe,United-Kingdom-GB,Windsor Place Faraday Road RH10 9TF Gatwick W. Sussex United Kingdom (GB)        ,info@productperceptions.com,Phone: +44-1293-558.955,Fax: +44-1293-534.963
In-house Research and Training Limited,Europe,United-Kingdom-GB,24 Borough Fields SN4 7AX Royal Wootton Bassett Wiltshire United Kingdom (GB)       ,info@inhouse.uk.net,Phone: +44-1793-848455,
Oxygen Brand Consulting Ltd,Europe,United-Kingdom-GB,1 Bisham Gardens Highgate N6 6DJ London London United Kingdom (GB)       ,info@oxygen.uk.com,Phone: +44-20-8347.7362,
Future Thinking,Europe,United-Kingdom-GB,Laystall House 8 Rosebery Avenue EC1R 4TD London United Kingdom (GB)        ,info@futurethinking.com,Phone: +44-20-7843.9777,Fax: +44-20-7843.9779
Sensory Dimensions,Europe,United-Kingdom-GB,"Science &amp; Technology Centre Earley Gate, Whiteknights Road RG6 6BZ Reading United Kingdom (GB)        ",info@sensorydimensions.com,Phone: +44-118-935.7000,Fax: +44-118-926.7917
SIS International Research,Europe,United-Kingdom-GB,7-10 Adam Street The Strand WC2N 6AA London United Kingdom (GB)       ,researchemea@sisinternational.com,Phone: +4420-7520-9026,
Market Audit,Europe,France,"78C, Bd Leclerc BP 30515 59059 Roubaix Cedex 1 France        ",sdelattre@marketaudit.fr,Phone: +33-3-5956.9500,Fax: +33-3-5956.9509
MIX FACTORY,Europe,France,"4, rue de l'Abreuvoir 92415 Courbevoie Cedex France       ",priscille.bermond@mix-factory.com,Phone: +33-490-522.519,
LA MAISON DU TEST,Europe,France,66 rue de Paris 93100 MONTREUIL France        ,info@lamaisondutest.com,Phone: +33.1.7302.6969,Fax: +33-1-7302.6960
PHOEBUS,Europe,France,95 rue Sainte Catherine BP 40 034 33 036 BORDEAUX France        ,hugues.daolio@phoebus-research.com,Phone: + 33(0)5 56 44 99 15,Fax: + 33(0)5 56 44 99 08
"SAM Sensory and Marketing International, France",Europe,France,46 rue Armand Carrel 75019 Paris France       ,sam-fr@samresearch.com,Phone: +33-148246102,
Cocedal Conseil,Europe,France,25 rue de Ponthieu 75008 Paris France        ,csasson@cocedal.fr,Phone: +33-1-4561 5151,Fax: +33-1-5375 4199
ICARE,Europe,France,11 rue G. Lussac 59650 Villeneuve d'Ascq France        ,icare@icare-mr.com,Phone: +33-3-2005.0260,Fax: +33-3-2005.0250
Bilendi,Europe,France,"3, rue d'Uzes 75002 Paris France        ",l.deliry@bilendi.com,Phone: +33 144882740,Fax: +33 144886031
CREATIVE WORKS,Europe,France,32 rue de Chazelles 75017 Paris France        ,aldo.nonis@creativeworks.fr,Phone: +33-1-4380.0530,Fax: +33-1-4380.2948
BLUE LEMON QUALITATIVE RESEARCH &amp; CONSULTING,Europe,France,101 rue de sèvres 75006 Paris France        ,contact@bluelemon-research.com,Phone: +33-1-39785539,Fax: +33-1-4733.8766
Strategic Research,Europe,France,"17, bd Malesherbes 75008 PARIS France       ",contact@strategicresearch.fr,Phone: +33(0)184162060,
FIELDSHOP,Europe,France,2 Avenue lacassagne 69003 Lyons France        ,fieldshop@field-shop.com,Phone: +33-4-7862.2323,Fax: +33-4-7862.8417
Ipsos,Europe,France,35 rue du Val de Marne 75013 Paris France        ,communication@ipsos.com,Phone: +33-1-4198.9000,Fax: +33-1-4198.9999
HyperWorld,Europe,France,4 Cité Paradis 75010 Paris France       ,contact@hyperworld.fr,Phone: +33 9 50 80 42 95,
Reperes,Europe,France,"20, Rue Bouvier 75011 Paris France        ",reperes@reperes.net,Phone: +33-1-4429.6000,Fax: +33-1-4429.6001
Askia Group,Europe,France,25 rue d'Hauteville 75010 Paris France        ,ask@askia.com,Phone: +33-1-4483.6832,Fax: +33-1-4483.6939
SPATIUM,Europe,France,"81, rue de la Republique 69002 Lyon France        ",info@spatium.com,Phone: +33-4-7838.5760,Fax: +33-4-7240.2415
YouGov France,Europe,France,29 Rue du Louvre 75002 Paris France        ,info@yougov.fr,Phone: +33 (0)1 44 51 95 60,Fax: +33 (0)9 82 62 20 52
FMR GLOBAL HEALTH,Europe,France,"Global Headquarter Rond Point des Champs Elysées, 22 Rue Jean Mermoz 75008 Paris France        ",contact@fmrglobalhealth.com,Phone: +33 1 45 63 16 09,Fax: +33-1-4716.1110
TNS SOFRES,Europe,France,3 avenue Pierre Massé 75014 Paris France        ,contact@tns-sofres.com,Phone: +33-1-40-92-66-66,Fax: +33-1-42-53-91-16
Kfield Marketing Research Instruments,Europe,Italy,Corso delle Province 25 95129 Catania Sicily Italy        ,salvopanarello@kfield.eu,Phone: +39 095-37.48.35,Fax: +39 095-29.37.335
GHIAL MEDIA,Europe,Italy,Via Vincenzo Monti 25 Via Vincenzo Monti 25 20123 Milano Milano Italy        ,segreteria@euromediaresearch.it,Phone: +390243912184,Fax: +39-02-8905.9889
Rome Field &amp; Research International,Europe,Italy,"Via Carlo Bartolomeo Piazza, 16/18 00161 Rome Italy        ",g.grillo@rfr-international.net,Phone: +39-06-4423.7799,Fax: +39-06-2332.39015
EMG SRL,Europe,Italy,Via Carlo De Angeli 3 20141 Milano Italy        ,info@esomar.it,Phone: + 39 02 45485206,Fax: + 39 02 45495181
Lexis ricerche Srl,Europe,Italy,Via Alberto Mario 8 20149 Milan Italy        ,lexis@lexisricerche.it,Phone: +39-02-4800.1683,Fax: +39-02-4800.0689
KIK SRL,Europe,Italy,Via T. Tasso 50 c/o scientific and technological park Kilometro Rosso 24121 Bergamo Italy       ,livia.gervasoni@ourkik.com,Phone: +39 3358242133,
People the Research Partner srl,Europe,Italy,Via Alessandro Volta 16 20121 Milan Italy        ,info@peopleresearch.it,Phone: +39-02-4549.9301,Fax: +39-02-4549.9302
Episteme srl,Europe,Italy,viale Andrea Doria 5 20124 Milan Italy       ,info@episteme.co,Phone: 00390236753757,
SCENARI SRL,Europe,Italy,via diocleziano 42 80125 napoli campania Italy        ,info@scenari.it,Phone: +390812403244,Fax: +390815753192
IdWeb srl,Europe,Italy,"Viale Romagna, 69 06012 Perugia Perugia Italy        ",info@idweb.it,Phone: +39 (0)75 85 11 473,Fax: +39 (0)75 85 12 889
Arkell Research Associates,Europe,Italy,Via Verdina 98 Camaiore 55041 Lucca Italy        ,info@arkellresearch.com,Phone: +39-335-6536910,Fax: +39-0584-1784529
Probe S.r.l.,Europe,Italy,"Via Tadino, 20 20124 Milan Italy        ",probe@probesrl.it,Phone: +39-02-236.3866,Fax: +39-02-236.5356
Format Research S.r.l.,Europe,Italy,Format Research S.r.l. Via Ugo Balzani 77 00162 Rome Italy        ,info@formatresearch.com,Phone: +39-06-8632.8681,Fax: +39-06-8638.4996
Alphabet Research,Europe,Italy,Via Forze Armate 260/2 20152 Milan Italy        ,info@alphabet.it,Phone: +39-02-498.0029,Fax: +39-02-498.1878
Elma Research s.r.l.,Europe,Italy,"Viale V. Lancetti, 40 20158 Milan Italy        ",info@elmaresearch.com,Phone: +39 026880291,Fax: +39 026880410
NEXTEST S.r.l.,Europe,Italy,Via Vittadini 11 20136 Milano Italy        ,info@nextest.it,Phone: +39-02-5843.1229,Fax: +39-02-5830.7612
ApertaMente Srl,Europe,Italy,"Via Palestro, 5/B I - 20900 Monza MB Italy        ",gt.savorgnani@apertamentericerche.it,Phone: +39-039-2914-366,Fax: +39-039-2914-365
Ipsos Srl,Europe,Italy,Via Mauro Macchi 61 20124 Milan Italy        ,info@ipsos.it,Phone: 390 267 3301,Fax: +39-02-6733.0902
Focus S.r.L.,Europe,Italy,Via Pietro Borsieri 12 00195 Rome Italy        ,focus@uni.net,Phone: +39-06-372.8911,Fax: +39-06-372.3842
G&amp;G Associated S.r.l.,Europe,Italy,Viale Regina Margherita 278 00198 ROME Italy        ,info@ggassociated.it,Phone: + 39 06 44 24 56 33,Fax: +39 06 93 38 01 97
Top of Mind MR&amp;C,Europe,Russian-Federation,4 Masterkova str. 115280 Moscow Russian Federation        ,mail@topofmind.ru,Phone: +7-495-114.5664,Fax: +7-495-114.5664
MarketSense,Europe,Russian-Federation,"6 Shluzovaya naberezhnaya building 4, 5th floor 115114 Moscow Russian Federation        ",info@marketsense.ru,Phone: +7-499-579 31 61,Fax: +7-4995793161
WCIOM,Europe,Russian-Federation,Ul. Kazakova 16 Building 2 105064 Moscow Russian Federation        ,inform@wciom.com,Phone: +7-495-748.0807,Fax: +7-495-748.0807
Online Market Intelligence (OMI),Europe,Russian-Federation,"Moscow, Bolshoi Karetniy Per 20, b. 3 127051 Moscow Russian Federation        ",ashashkin@omirussia.ru,Phone: +7-495-660-94-15,Fax: +7-499-978.5197
B&amp,M,Europe,Russian-Federation,15-161 Cherepovetskaya street 127572 Moscow Russian Federation       ,bma@bma.ru,Phone: +7-985-211-6733
GfK in Russia,Europe,Russian-Federation,"Ryazanskiy Prospekt , 8A 11th Floor 109428 Moscow Russian Federation        ",ru@gfk.com,Phone: +7 495 937 7222,Fax: +7 495 937 7233
MASMI - Russia,Europe,Russian-Federation,Malaya Semenovskaya Str. 9 Building 5 107023 Moscow Russian Federation        ,masmi-russia@masmi.com,Phone: +7-495-981.4850,Fax: +7-495-981.4855
Ultex MR,Europe,Russian-Federation,Profsoyuznaya 57 korpus 2 117420 Moscow Russian Federation        ,ap@ultexmr.ru,Phone: +7499 678 33 02,Fax: +7966 119 43 14
SAMI,Europe,Russian-Federation,Pestelya Street 6/25 office 3 191028 St Petersburg Russian Federation        ,sami@masmi.com,Phone: +7-812-275.9510,Fax: +7-812-275.9510
Tochka Rosta Research&amp;Testing,Europe,Russian-Federation,"1 Kvesisskaya str, 18, trade center bld. office 233 trade center bld. office 233 127220 Moscow Russian Federation       ",office@tochkarosta.ru,Phone: +7 499 685 1477,
"Kantar TNS, Russia",Europe,Russian-Federation,"6, Bolshoi Koptevsky pr. 125319 Moscow Russian Federation        ",tns@tns-global.ru,Phone: +7-495-935.8718,Fax: +7-495-926.5228
SOCIS MR Russia,Europe,Russian-Federation,Oktyabrya Ave. 47 150040 Yaroslavl Russian Federation        ,info@socismr.com,Phone: +7-495-510.1940,Fax: +7-4852-730.366
CESSI - Institute for Comparative Social Research,Europe,Russian-Federation,"B.Dmitrovka 20/5, office 66 107031 Moscow Russian Federation        ",cessi@cessi.ru,Phone: +7-495-650.6892,Fax: +7-495-650.5571
QuQuest,Europe,Russian-Federation,"Business Centre Gamma Gamsonovskiy per. 5, bldg.3, Ground Floor 115191 Moscow Russian Federation        ",info@ququest.ru,Phone: +7-495-641.0225,Fax: +7-495-641.0225
FDFgroup,Europe,Russian-Federation,"Gostinichnaya 3, 102 127106 Moscow Russian Federation       ",info@fdfgroup.ru,Phone: +74957552224,
ROMIR Holding,Europe,Russian-Federation,"Barklaya Street, 6-3 121087 Moscow Russian Federation        ",info@romir.ru,Phone: +7-495-988.6081,Fax: +7-495-988.6081
MAGRAM Market Research,Europe,Russian-Federation,"26 Prospect Mira, bld. 8. 129090 Moscow Russian Federation        ",magram@magram.ru,Phone: +7-495-980.8050,Fax: +7-495-980.8051
Bazis Group,Europe,Russian-Federation,R.Luxemburg 22-909 620075 Ekaterinburg Russian Federation        ,info@bazisgroup.com,Phone: +7 (343) 288-57-14,Fax: +7-343-272.4314
Atelier Marker Research,Europe,Russian-Federation,Pyatnitskaya Str. 6/1 115035 Moscow Russian Federation        ,office@atelier-mr.ru,Phone: +7-495-646-0622,Fax: +7-495-646-0622
O+K,Europe,Russian-Federation,9 Chapaeva Street 197046 St. Petersburg Russian Federation        ,oleg@okresearch.ru,Phone: +7-812-244.2442,Fax: +7-812-244.2442
RSVO (face to face &amp; online),Europe,Netherlands,Westzijde 14D Theehuis van Monet 1506 EE Zaandam Netherlands        ,mail@rsvo.nl,Phone: +31-75-631.9320,Fax: +31-75-631.9320
Perspective,Europe,Netherlands,Sarphatistraat 634 1018 AV Amsterdam Netherlands       ,titia@perspective-research.nl,Phone: +31-616612202,
121research,Europe,Netherlands,Jan Evertsenstraat 777 1061 XZ Amsterdam Netherlands        ,121research@kpnmail.nl,Phone: +31-20-6148120,Fax: +31-84-7185.524
Global Data Collection Company (GDCC),Europe,Netherlands,Conradstraat 18 3013 AP Rotterdam Netherlands        ,sales@gdcc.com,Phone: +31-10-300.3003,Fax: +31-10-300.3004
True Research,Europe,Netherlands,Runmoolen 131 1181NZ Amstelveen Netherlands       ,erik@true-research.nl,Phone: +31 20 6452691,
GfK in the Netherlands,Europe,Netherlands,Krijgsman 22-25 1186 DM Amstelveen NH Netherlands        ,nl@gfk.com,Phone: +31-20 713 3000,Fax: +31-35-624.6532
Branches &amp; Trends bv,Europe,Netherlands,Akerstraat 8E 6221 CL Maastricht Netherlands        ,info@branches-en-trends.nl,Phone: +31-43-356.9900,Fax: +31-43-356.9901
haystack international The Netherlands,Europe,Netherlands,haystack BV Klaprozenweg 75 B1 1033 NN Amsterdam Netherlands        ,w.hamaekers@haystack-international.com,Phone: +31 (0)20 8004400,Fax: 321 662 0002
MeMo2,Europe,Netherlands,Jan Luijkenstraat 1071 CT Amsterdam Netherlands       ,info@memo2.com,Phone: +31 20 6794736,
I\'m Research BV,Europe,Netherlands,Grevelingen 42 2641 XZ Pijnacker Netherlands        ,info@imresearch.eu,Phone: +31-15-3610036,Fax: +31-15-3610021
NIPO Software,Europe,Netherlands,Grote Bickersstraat 74 1013 KS Amsterdam Netherlands        ,info@niposoftware.com,Phone: +31-20-522.5989,Fax: +31-20-522.5333
Ferro Explore!,Europe,Netherlands,Weteringschans 85D 1017RZ Amsterdam Netherlands        ,info@ferro-explore.nl,Phone: +31-20-624.3044,Fax: +31-20-622.4299
Sample Solutions BV,Europe,Netherlands,Burgwal 47 2611GG Delft Zuid Holland Netherlands       ,info@samplesolutions.eu,Phone: +31 153010030,
ibt marktonderzoek,Europe,Netherlands,Eerste Jansteenstraat 84a 1072 NP Amsterdam Netherlands        ,eelco.hofma@ibtmarktonderzoek.nl,Phone: +31-20-7980992,Fax: +31-20-428.8428
Vostradamus,Europe,Netherlands,Asterweg 75 1031HM Amsterdam Noord Holland Netherlands        ,info@vostradamus.nl,Phone: +31203033893,Fax: 020 303 3894
ADK INSIGHTS,Europe,Netherlands,Neptunusstraat 31 2132 JA Hoofddorp Netherlands        ,info@adk-insights.com,Phone: +31-23-554.3554,Fax: +31-23-554.3553
DESAN Research Solutions,Europe,Netherlands,P.O. Box 10288 1001 EG Amsterdam Netherlands        ,info@desan.nl,Phone: +31-20-620.1589,Fax: +31-20-638.7299
InSites Consulting B.V.,Europe,Netherlands,Barbizonlaan 45 2908 ME Capelle aan den Ijssel Netherlands        ,info@insites-consulting.com,Phone: +31 (0)10 742 10 30,Fax: +32 (0)2 792 47 03
Q&amp;A Research &amp; Consultancy,Europe,Netherlands,Printerweg 22 3821 AD Amersfoort Netherlands        ,info@qanda.nl,Phone: +31 33 2454637,Fax: +31-33-2457690
PMR - Partners in Marketing Research BV,Europe,Netherlands,Vinkenbos 31 5521 SZ Eersel Netherlands       ,derijk@pmrresearch.nl,Phone: +31-497-518.527,
"Block de Ideas, S.L.",Europe,Spain,"Diputació 180, planta 4 08011 Barcelona Spain        ",rdalet@blockdeideas.es,Phone: +34-93-415.5228,Fax: +34-93-415.9723
Psyma Iberica S.L.,Europe,Spain,C/ Velazquez 22 2° dcha &amp; 3° dcha 28001 Madrid Spain        ,ignacio.macias@psyma-iberica.com,Phone: +34-915-900.977,Fax: +34-915-648.928
Intercampo S.A.,Europe,Spain,C/Bravo Murillo nº 5 28015 Madrid Spain        ,intercampo@intercampo.es,Phone: +34-91-448.3312,Fax: +34-91-445.8096
Ideria Insights,Europe,Spain,"Rambla Catalunya, 62 3-1 08007 Barcelona Spain        ",monicay@ideria.net,Phone: +34 93 272 13 84,Fax: +34-932156654
Kuo Experience Research,Europe,Spain,"Avda. General Peron 22,2 B 28020 Madrid Madrid Spain       ",info@kuo-experience.com,Phone: +34 91 2203641,
CONENTO,Europe,Spain,"SAGASTA 15, 7º 28004 MADRID MADRID Spain        ",jesus.aranda@conento.com,Phone: +34915938066,Fax: +349144886626
LinQ Market Research España S.A.,Europe,Spain,"Calle Aribau 135, 4Âº, 2Âª 08036 Barcelona Spain        ",info@linq-spain.com,Phone: +34-93-363.2770,Fax: +34-93-419.9293
HAMILTON,Europe,Spain,"c/Mallorca, 221 08008 Barcelona Spain       ",info@hamilton.global,Phone: +34 93 237 09 92,
"PRM Internacional, S.A.",Europe,Spain,"Gran Vía Carlos III, 86 3ª Planta 08028 Barcelona Spain        ",prm@prm.es,Phone: +34-93-405.2799,Fax: +34-93-430.1022
"PUNTO DE FUGA, Investigación Prospectiva",Europe,Spain,"Roger de Llúria, 82; 3º 1ª 08009 Barcelona Spain        ",laura.torrebadell@puntodefuga.es,Phone: +34-93-476.1494,Fax: +34-93-476.1491
"Invymark, S.A.",Europe,Spain,"C/Diego de Léon, 30 28006 Madrid Madrid Spain        ",invymark@invymark.es,Phone: +34-91-564.1401,Fax: +34-91-411.4445
C23 Research (Castello Veintitres S.L.),Europe,Spain,Calle Castello 23 - Entreplanta 28001 Madrid Spain        ,info@C23Research.com,Phone: +34-91-435.9985,Fax: +34-91-435.6438
Nueva Investigación,Europe,Spain,Raimundo Fernandez Villaverde 57 2º Derecha 28003 Madrid Spain        ,nueva@nuevainvestigacion.com,Phone: +34-91-353.1490,Fax: +34-91-345.6656
CONECTA Research &amp; Consulting,Europe,Spain,"Alcalá 105, 1ª planta 28009 Madrid Spain        ",conectarc@conectarc.com,Phone: 34 91 1559676,Fax: 34 91 575 75 49
Netquest SL,Europe,Spain,"Gran Capitan, 2- 4 Nexus I Building 08034 Barcelona Spain        ",info@netquest.com,Phone: +34-93-205.0063,Fax: +34-93-280.0750
The Cocktail Analysis,Europe,Spain,"Calle Salamanca, 17 28020 Madrid Madrid Spain       ",info@tcanalysis.com,Phone: +34 91 567 06 05,
Estudio Silvia Roca S.L.,Europe,Spain,C/Valencia 230 2º2ª 08007 Barcelona Spain        ,ivan.bautista@estudiosilviaroca.es,Phone: +34-93-451.5310,Fax: +34-93-451.8012
PSCG - Product Sensory Consulting Group,Europe,Spain,"C/.Toledo, 10, casa 1ª 08195 Sant Cugat del Vallés Spain        ",juan.abante@pscg.es,Phone: +34-93-590.3138,Fax: +34-93-590.3139
Synergic Investigacion y Marketing,Europe,Spain,"Arago, 326, 3-1 08009 Barcelona Spain        ",synergic@synergic.es,Phone: +34-93-487.3309,Fax: +34-93-487.3513
"RANDOM strategy, S.A",Europe,Spain,"Joaquin Costa, 15 pta. 2-3 Avda. Pablo Iglesias, 24 28003 Madrid Spain        ",international@random-strategy.com,Phone: +34-91-453.0022,Fax: +34-91-453.0021
Barem,Europe,Turkey,Abide-i Hurriyet Ca. No 211 Bolkan Plaza A Blok Kat 2 Sisli 34381 Istanbul Turkey        ,barem@barem.com.tr,Phone: +90-212-320.2200,Fax: +90-212-320.2277
Kalita Research and Consultancy,Europe,Turkey,Vali Konagi Cad. Hasim bey Apt. 75/3 Nisantasi 80220 Istanbul Turkey        ,info@kalita.net,Phone: +90-212-2911.986,Fax: +90-212-2911.905
Binom Research,Europe,Turkey,"Akıncı Bayırı Sokak, Şişik İş Merkezi No: 28 Kat: 2, Şişli, İstanbul, Türkiye 34394 Istanbul Istanbul Turkey        ",info@binomarastirma.com,Phone: +902123561646,Fax: 212 356 1646
Menta Research &amp; Consultancy,Europe,Turkey,Yildiz Posta Cad. Emel Sitesi A Blok No:14/4 34349 Istanbul Turkey        ,info@mentaresearch.com,Phone: +90-212-3474380,Fax: +90-212-3474382
Future Generation (FG) Research,Europe,Turkey,Merkez Mah. Hasat Sok. 52/1 Sisli 34381 Istanbul Turkey        ,info@fgresearch.net,Phone: +90-542-4255405,Fax: +90-212-9631341
Q&amp;A MARKET RESEARCH,Europe,Turkey,Bagdat Cad.Tanguner Apt. NO:356 K.3 D.7 34728 Saskinbakkal- Kadikoy/ Istanbul Istanbul Turkey        ,info@qamarketresearch.com,Phone: +90-216-355.3401,Fax: +90-216-355.3403
FutureBright Research and Strategic Consultancy,Europe,Turkey,Halaskargazi Cad. Cifkurt Ap. No: 226 Floor 1-5-6 Sisli 34371 Istanbul Turkey        ,info@futurebright.com.tr,Phone: +90 212 240 21 23,Fax: +90 212 246 08 33
Matris Research,Europe,Turkey,Abide-i Hurriyet Cad. Ucler Apt. No: 141 / 4 Istanbul Turkey        ,info@matrisresearch.com,Phone: +90-212-296-42-61,Fax: +90-212-296-42-63
Sever Impeks Marketing Research and Consultancy Ltd.,Europe,Turkey,"Aytar Cad. No 4 Ayyildis Han Çati Kati, Levent 34340 Istanbul Turkey        ",research@severimpeks.com,Phone: +90-212-279.9318,Fax: +90-212-279.6099
Alfa Market Research &amp; Consultancy Ltd.,Europe,Turkey,Gayrettepe Mah. Ömer Beşiktaş Sok. No:10 Kat:3 34349 İstanbul Beşiktaş Turkey        ,info@alfaresearch.com,Phone: +90.212.2453729,Fax: +90.212.2525504
Diyalog Research,Europe,Turkey,Gulbahar Mah. Harmanyolu Ust Sk. No:4/A Meric Plaza 34394 Mecidiyekoy 34349 Istanbul Turkey        ,nilgun.okutan@diyalogarastirma.com.tr,Phone: +90-212-708.5600,Fax: +90-212-216.8972
